fc_destination_code,proxy,uvac_destination,number_of_nights,offset
LON,US,LON,5,82
LON,US,LON,5,87
LON,US,LON,5,92
LON,US,LON,5,97
LON,US,LON,5,102
LON,US,LON,5,107
LON,US,LON,5,112
LON,US,LON,5,117
LON,US,LON,5,122
LON,US,LON,5,127
LON,US,LON,5,132
LON,US,LON,5,137
LON,US,LON,5,142
LON,US,LON,5,147
LON,US,LON,5,152
LON,US,LON,5,157
LON,US,LON,5,162
LON,US,LON,5,167
LON,US,LON,5,172
LON,US,LON,5,177
LON,US,LON,5,182
LON,US,LON,5,187
LON,US,LON,5,192
LON,US,LON,5,197
LON,US,LON,5,202
LON,US,LON,5,207
LON,US,LON,5,212
LON,US,LON,5,217
LON,US,LON,5,222
LON,US,LON,5,227
LON,US,LON,5,232
LON,US,LON,5,237
LON,US,LON,5,242
LON,US,LON,5,247
LON,US,LON,5,252
LON,US,LON,5,257
LON,US,LON,5,262
LON,US,LON,5,267
LON,US,LON,5,272
LON,US,LON,5,277
LON,US,LON,5,282
LON,US,LON,5,287
LON,US,LON,5,292
LON,US,LON,5,297
LON,US,LON,5,302
LON,US,LON,5,307
LON,US,LON,5,312
LON,US,LON,5,327
LON,US,LON,5,342
LON,US,LON,5,375
MAD,US,MAD,3,7
MAD,US,MAD,3,10
MAD,US,MAD,3,13
MAD,US,MAD,3,16
MAD,US,MAD,3,19
MAD,US,MAD,3,22
MAD,US,MAD,3,25
MAD,US,MAD,3,28
MAD,US,MAD,3,31
